PARK,BOROUGH,SIZE (ACRES),CATEGORY,Murder,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
COLDEN PLAYGROUND,QUEENS       ,1.466,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LUTHER GULICK PLAYGROUND,MANHATTAN    ,1.451,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PULASKI PARK,BRONX        ,1.450,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BOOKER T. WASHINGTON PLAYGROUND,MANHATTAN    ,1.441,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DUNBAR PLAYGROUND,BRONX        ,1.440,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PLAYGROUND TWENTY ONE,QUEENS       ,1.439,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PROSPECT PLAYGROUND,BRONX        ,1.438,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WOODS PLAYGROUND,BROOKLYN     ,1.438,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ALMEDA PLAYGROUND,QUEENS       ,1.430,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GAETA PARK,STATEN ISLAND,1.430,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GLENWOOD PLAYGROUND,BROOKLYN     ,1.430,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SHELTERING ARMS PLAYGROUND,MANHATTAN    ,1.430,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MALL FORTY TWO XLII,QUEENS       ,1.429,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
NORELLI-HARGREAVES PLAYGROUND,QUEENS       ,1.427,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BILDERSEE PLAYGROUND,BROOKLYN     ,1.416,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PULASKI PLAYGROUND,BROOKLYN     ,1.416,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MACDONALD PARK,QUEENS       ,1.415,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
OWEN F. DOLEN PARK,BRONX        ,1.400,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
VAN DYKE PLAYGROUND,BROOKLYN     ,1.398,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WILLIAMSBRIDGE SQUARE,BRONX        ,1.395,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PEOPLE'S PARK,BRONX        ,1.394,ONE ACRE OR LARGER,0,0,0,2,0,0,0,2
DOME PLAYGROUND,BROOKLYN     ,1.385,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1
RUSSELL PEDERSEN PLAYGROUND,BROOKLYN     ,1.384,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ST. CATHERINE'S PARK,MANHATTAN    ,1.383,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HOWARD VON DOHLEN PLAYGROUND,QUEENS       ,1.381,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HAVEN AVENUE,MANHATTAN    ,1.380,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
NAUTILUS PLAYGROUND BROOKLYN,BROOKLYN     ,1.380,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ARCILLA PLAYGROUND,BRONX        ,1.377,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FOUNTAIN OF YOUTH PLAYGROUND,BRONX        ,1.375,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LIEUTENANT JOHN H. MARTINSON PLAYGROUND,STATEN ISLAND,1.375,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MARTINEZ PLAYGROUND,BROOKLYN     ,1.373,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HILLSIDE PARK BROOKLYN,BROOKLYN     ,1.371,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LT. LIA PLAYGROUND,STATEN ISLAND,1.370,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
PLAYGROUND ONE FORTY,QUEENS       ,1.370,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CRACK IS WACK PLAYGROUND,MANHATTAN    ,1.369,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CASTLE HILL PLAYGROUND,BRONX        ,1.368,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ADAM YAUCH PARK,BROOKLYN     ,1.363,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HOPE BALLFIELD,BROOKLYN     ,1.363,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DR. RONALD MCNAIR PARK,BROOKLYN     ,1.361,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ADMIRAL FARRAGUT PLAYGROUND,BRONX        ,1.359,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MCDONALD PLAYGROUND STATEN ISLAND,STATEN ISLAND,1.352,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNNAMED PARK ON VANDALIA AVENUE,BROOKLYN     ,1.351,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FRESH MEADOWS PLAYGROUND,QUEENS       ,1.350,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PLAYGROUND EIGHTY LXXX,QUEENS       ,1.350,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PRINTER'S PARK,BRONX        ,1.341,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RENAISSANCE PLAYGROUND,MANHATTAN    ,1.340,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CLASSON PLAYGROUND AT CLASSON AVENUE & LAFAYETTE AVENUE,BROOKLYN     ,1.336,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
REMSEN PLAYGROUND,BROOKLYN     ,1.333,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MARC AND JASON'S PLAYGROUND,BROOKLYN     ,1.326,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
VETERANS PARK STATEN ISLAND,STATEN ISLAND,1.324,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LYONS SQUARE PLAYGROUND,BRONX        ,1.322,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
AGNES HAYWOOD PLAYGROUND,BRONX        ,1.320,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MARION HOPKINSON PLAYGROUND,BROOKLYN     ,1.320,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
AMPERE PLAYGROUND,QUEENS       ,1.318,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
POTOMAC PLAYGROUND,BROOKLYN     ,1.315,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DETECTIVE JOSEPH MAYROSE PARK,BROOKLYN     ,1.314,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PAUL RAIMONDA PLAYGROUND,QUEENS       ,1.310,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PRALL PLAYGROUND,STATEN ISLAND,1.307,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HORACE HARDING PLAYGROUND,QUEENS       ,1.304,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DEAN PLAYGROUND,BROOKLYN     ,1.300,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
SEVEN GABLES PLAYGROUND,QUEENS       ,1.297,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TRIBOROUGH BRIDGE PLAYGROUND B,QUEENS       ,1.295,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LITTLE FLOWER PLAYGROUND,MANHATTAN    ,1.294,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DONGAN PLAYGROUND,STATEN ISLAND,1.293,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BUSHWICK PLAYGROUND ON FLUSHING AVENUE,BROOKLYN     ,1.290,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
EAST RIVER PLAYGROUND,MANHATTAN    ,1.285,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
SAMUEL H. YOUNG PARK,BRONX        ,1.285,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BOWNE PLAYGROUND,QUEENS       ,1.280,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SPACE TIME PLAYGROUND,BRONX        ,1.280,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RUDD PLAYGROUND,BROOKLYN     ,1.278,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WILLOW LAKE PLAYGROUND,QUEENS       ,1.277,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MURPHY'S BROTHER'S PLAYGROUND,MANHATTAN    ,1.275,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
COONEY GRAUER FIELD,BRONX        ,1.274,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WAGNER PLAYGROUND,MANHATTAN    ,1.270,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
EMERALD PLAYGROUND,QUEENS       ,1.265,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CHARLIE'S PLACE,BROOKLYN     ,1.260,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PELHAM BAY LITTLE LEAGUE,BRONX        ,1.260,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GREENE PLAYGROUND,BROOKLYN     ,1.259,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TANAHEY PLAYGROUND,MANHATTAN    ,1.254,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ALBERT J. PARHAM PLAYGROUND,BROOKLYN     ,1.253,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PARKSIDE PLAYGROUND BROOKLYN,BROOKLYN     ,1.252,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CARLTON PARK AT CARLTON BOULEVARD & CROWN AVENUE,STATEN ISLAND,1.250,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PLAYGROUND NINETY,QUEENS       ,1.250,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
NEPTUNE PLAYGROUND,BROOKLYN     ,1.243,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ANNUNCIATION PARK,MANHATTAN    ,1.240,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
HECKSCHER PLAYGROUND,BROOKLYN     ,1.240,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GRASSMERE PLAYGROUND,QUEENS       ,1.239,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
QUEENSBORO OVAL,MANHATTAN    ,1.239,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GONZALO PLASENCIA PLAYGROUND,BROOKLYN     ,1.236,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FRESH MEADOWS PARK,QUEENS       ,1.230,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PATRICK O'ROURKE PARK,BROOKLYN     ,1.230,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RIENZI PLAYGROUND,BRONX        ,1.230,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ROEBLING PLAYGROUND,BROOKLYN     ,1.230,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HOWARD BENNETT PLAYGROUND,MANHATTAN    ,1.228,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
STANLEY ISAACS PLAYGROUND,MANHATTAN    ,1.227,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CHAPPETTO SQUARE,QUEENS       ,1.226,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BRIGHTON PLAYGROUND,BROOKLYN     ,1.225,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
NELSON PLAYGROUND,BRONX        ,1.222,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SHEEPSHEAD BAY PIERS,BROOKLYN     ,1.220,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ELEANOR ROOSEVELT PLAYGROUND,BROOKLYN     ,1.211,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BAYSIDE PLAYGROUND,QUEENS       ,1.210,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BAYVIEW PLAYGROUND,BROOKLYN     ,1.210,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FRANCIS LEWIS PLAYGROUND,QUEENS       ,1.206,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MURRAY HILL PLAYGROUND,QUEENS       ,1.206,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MAGENTA PLAYGROUND,BRONX        ,1.205,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TIFFANY PLAYGROUND,BRONX        ,1.205,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MAURICE A FITZGERALD PLAYGROUND,QUEENS       ,1.201,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DANIEL BOONE PLAYGROUND,BRONX        ,1.200,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HILTON HOLIDAY GARDENS,QUEENS       ,1.200,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HATTIE CARTHAN PLAYGROUND,BROOKLYN     ,1.195,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
KOREAN WAR VETERANS PLAZA,BROOKLYN     ,1.195,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
STROUD PLAYGROUND,BROOKLYN     ,1.194,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TILDEN PLAYGROUND,BROOKLYN     ,1.190,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LAFAYETTE PLAYGROUND ON STILLWELL AVENUE,BROOKLYN     ,1.187,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SOUTH OXFORD PARK,BROOKLYN     ,1.187,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNDERWOOD PARK,BROOKLYN     ,1.187,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GROVE HILL PLAYGROUND,BRONX        ,1.186,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LA GUARDIA PLAYGROUND,BROOKLYN     ,1.179,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNNAMED PARK ON DRUMGOOLE ROAD & VERNON AVENUE,STATEN ISLAND,1.178,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BELMONT PLAYGROUND BROOKLYN,BROOKLYN     ,1.177,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
STEUBEN PLAYGROUND,BROOKLYN     ,1.171,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
THE CYCLONE,BROOKLYN     ,1.170,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WILLIAM SHERIDAN PLAYGROUND,BROOKLYN     ,1.170,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
OAKLAND GARDENS,QUEENS       ,1.166,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
EHRENREICH-AUSTIN PLAYGROUND,QUEENS       ,1.161,ONE ACRE OR LARGER,0,1,0,0,0,0,0,1
UNIVERSITY PLACE,BROOKLYN     ,1.161,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HARDING PARK BEAUTIFICATION PROJECT,BRONX        ,1.160,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HILLSIDE PARK QUEENS,QUEENS       ,1.160,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SITTING AREA AT HOYT AVENUE,QUEENS       ,1.160,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CUYLER GORE PARK,BROOKLYN     ,1.158,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BATH PLAYGROUND,BROOKLYN     ,1.157,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
POLICE OFFICER NICHOLAS DEMUTIIS PARK,QUEENS       ,1.151,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
"""UNCLE"" VITO E. MARANZANO GLENDALE PLAYGROUND",QUEENS       ,1.150,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RAPPAPORT PLAYGROUND,BROOKLYN     ,1.148,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
EAST SPRINGFIELD PLAYGROUND,QUEENS       ,1.146,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TOAD HALL PLAYGROUND,STATEN ISLAND,1.145,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WILLETS POINT PLAYGROUND,QUEENS       ,1.145,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SEASIDE PLAYGROUND,QUEENS       ,1.144,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CORPORAL JOHN A. SERAVALLI PLAYGROUND,MANHATTAN    ,1.143,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
POPPENHUSEN PLAYGROUND,QUEENS       ,1.140,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNNAMED PARK ON ROCKAWAY BOARDWALK & B 28TH ST,QUEENS       ,1.140,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SOBEL COURT PARK,STATEN ISLAND,1.137,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
D'EMIC PLAYGROUND,BROOKLYN     ,1.130,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FIDLER-WYCKOFF HOUSE PARK,BROOKLYN     ,1.130,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNNAMED PARK ON SOUNDVIEW AVENUE,BRONX        ,1.130,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WESTBOURNE PLAYGROUND,QUEENS       ,1.130,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PRESCOTT PLAYGROUND,STATEN ISLAND,1.124,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LOPEZ PLAYGROUND,STATEN ISLAND,1.115,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HUGH J. GRANT CIRCLE,BRONX        ,1.110,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
P.S. 29 BALL FIELD,BRONX        ,1.107,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PENA HERRERA PARK,BROOKLYN     ,1.107,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MENTONE PLAYGROUND,QUEENS       ,1.102,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MIDDLETON PLAYGROUND,BROOKLYN     ,1.101,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DE HOSTOS PLAYGROUND,BROOKLYN     ,1.100,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1
SARATOGA BALLFIELDS,BROOKLYN     ,1.095,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ROBERT MOSES PLAYGROUND,MANHATTAN    ,1.093,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
STOCKTON PLAYGROUND,BROOKLYN     ,1.089,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JACOB'S LADDER PLAYGROUND,BROOKLYN     ,1.085,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LOUIS ARMSTRONG PLAYGROUND,QUEENS       ,1.085,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNNAMED PARK ON HAMILTON AVENUE,BROOKLYN     ,1.080,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LATIMER PLAYGROUND,QUEENS       ,1.076,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNNAMED PARK ON MELROSE AVENUE,BRONX        ,1.075,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MARLBORO PLAYGROUND,BROOKLYN     ,1.072,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
NORTH ROCHDALE PLAYGROUND,QUEENS       ,1.071,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JEROME PLAYGROUND,BROOKLYN     ,1.068,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GREAT KILLS PARK AT HILLCREST AVENUE,STATEN ISLAND,1.065,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FERMI PLAYGROUND,BROOKLYN     ,1.061,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
ERICSSON PLAYGROUND,BROOKLYN     ,1.060,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MELLETT PLAYGROUND,BROOKLYN     ,1.056,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
NELLIE BLY PARK,BROOKLYN     ,1.056,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TELEPHONE PLAYGROUND,QUEENS       ,1.056,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SEDGWICK PLAYGROUND,BRONX        ,1.054,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BRUCKNER PLAYGROUND,BRONX        ,1.053,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MILLBROOK PLAYGROUND,BRONX        ,1.053,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PLAYGROUND 103 CIII,MANHATTAN    ,1.052,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ROCKET PARK,QUEENS       ,1.052,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BEACH CHANNEL PLAYGROUND,QUEENS       ,1.051,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
L/CPL THOMAS P. NOONAN JR. PLAYGROUND,QUEENS       ,1.050,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LOZADA PLAYGROUND,BRONX        ,1.050,ONE ACRE OR LARGER,1,0,0,0,0,0,0,1
JAMES WELDON JOHNSON PLAYGROUND,MANHATTAN    ,1.048,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SPRINGFIELD PARK NORTH,QUEENS       ,1.045,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
NICHOLAS NAQUAN HEYWARD JR. PARK,BROOKLYN     ,1.041,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FISH PLAYGROUND,BROOKLYN     ,1.035,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PLANEVIEW PARK,QUEENS       ,1.035,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GILBERT RAMIREZ PARK,BROOKLYN     ,1.034,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
OXPORT PLAYGROUND,BROOKLYN     ,1.033,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
VAN ALST PLAYGROUND,QUEENS       ,1.033,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WOODTREE PLAYGROUND,QUEENS       ,1.033,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HAMMEL PLAYGROUND,QUEENS       ,1.030,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
EASTCHESTER PLAYGROUND,BRONX        ,1.025,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SUNRISE PLAYGROUND,QUEENS       ,1.025,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
POWELL PLAYGROUND,BROOKLYN     ,1.024,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
KALTENMEIER PLAYGROUND,STATEN ISLAND,1.020,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MATTHEWS MULINER PLAYGROUND,BRONX        ,1.020,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BOWLING GREEN,MANHATTAN    ,1.016,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ANNADALE PLAYGROUND,QUEENS       ,1.013,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CURTIS PLAYGROUND,BROOKLYN     ,1.003,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MELROSE PLAYGROUND,BRONX        ,1.001,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BLAKE HOBBS PLAYGROUND,MANHATTAN    ,1.000,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CASERTA PLAYGROUND,BRONX        ,1.000,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CHESTER PLAYGROUND,BROOKLYN     ,1.000,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HACKETT PARK,BRONX        ,1.000,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HOWARD PLAYGROUND,BROOKLYN     ,1.000,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
JACKIE ROBINSON PLAYGROUND,BROOKLYN     ,1.000,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MARTIN LUTHER KING PLAYGROUND,MANHATTAN    ,1.000,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MONSIGNOR KETT PLAYGROUND,MANHATTAN    ,1.000,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PINK PLAYGROUND,BROOKLYN     ,1.000,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PLAYGROUND 174,BRONX        ,1.000,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PLIMPTON PLAYGROUND,BRONX        ,1.000,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RANDALL PLAYGROUND,BRONX        ,1.000,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RUPPERT PARK,MANHATTAN    ,0.997,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
BELLEROSE PLAYGROUND,QUEENS       ,0.996,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
ARVERNE PLAYGROUND,QUEENS       ,0.993,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
ABRAHAM LINCOLN PLAYGROUND,MANHATTAN    ,0.991,BASKETBALL & POOL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
CAPTAIN RIVERA PLAYGROUND,BRONX        ,0.988,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,1,0,0,0,0,1
NEWTOWN BARGE PLAYGROUND,BROOKLYN     ,0.983,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
HOLLIS PLAYGROUND,QUEENS       ,0.980,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
MAPLE PLAYGROUND,QUEENS       ,0.978,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
GOUVERNEUR PLAYGROUND,BRONX        ,0.977,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
MOTT PLAYGROUND,BRONX        ,0.977,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
LANNETT PLAYGROUND,QUEENS       ,0.974,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
ZIMMERMAN PLAYGROUND,BRONX        ,0.974,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
RANAQUA PARK,BRONX        ,0.972,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
TEN EYCK PLAYGROUND,BROOKLYN     ,0.972,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
MAE GRANT PLAYGROUND,MANHATTAN    ,0.970,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
ANDRIES PLAYGROUND,BROOKLYN     ,0.964,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
CARVER PLAYGROUND,BROOKLYN     ,0.964,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
